# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
0	0	2	1	0	1	0	0	19.017841	H2O H+ 
0	0	2	1	0	0	1	0	21.022086	H2O(18) H+ 
2	0	2	1	0	0	0	0	27.022926	C2H2 H+ 
0	0	0	0	2	0	0	0	28.00613976	N2 H+ 
0	0	0	1	2	0	0	0	29.01341629	N2 H+ 
0	0	0	0	1	1	0	0	29.99798965	NO H+ 
1	0	2	0	0	1	0	0	30.01058006	CH2O H+ 
1	0	3	1	1	0	0	0	30.033825	CH3N H+ 
0	0	0	0	0	0	0	0	30.9942894	 H+ 
0	0	0	1	1	1	0	0	31.00526619	NO H+ 
1	0	2	1	0	1	0	0	31.017841	CH2O H+ 
0	0	0	0	0	2	0	0	31.98983955	O2 H+ 
1	0	5	1	1	0	0	0	32.049475	CH5N H+ 
0	0	0	1	0	2	0	0	32.99711609	O2 H+ 
1	0	4	1	0	1	0	0	33.033491	CH4O H+ 
0	0	4	1	2	0	0	0	33.04473495	H4N2 H+ 
0	0	0	0	0	0	0	0	33.99396133	 
0	0	2	0	0	2	0	0	34.00550079	H2O2 H+ 
0	0	0	0	0	0	0	0	34.02915192	 
0	0	4	1	0	2	0	0	37.028406	H4O2 H+ 
0	0	4	1	0	1	1	0	39.032651	H4OO(18) H+ 
3	0	4	1	0	0	0	0	41.038576	C3H4 H+ 
0	0	0	0	3	0	0	0	42.00920868	N3 H+ 
2	0	3	1	1	0	0	0	42.033825	C2H3N H+ 
2	0	2	1	0	1	0	0	43.017841	C2H2O H+ 
3	0	6	1	0	0	0	0	43.054226	C3H6 H+ 
0	0	0	0	2	1	0	0	44.00106049	N2O H+ 
1	0	1	1	1	1	0	0	44.01309	CHNO H+ 
0	0	2	0	3	0	0	0	44.02487183	H2N3 H+ 
2	0	5	1	1	0	0	0	44.049475	C2H5N H+ 
1	0	1	0	0	2	0	0	44.99766922	CHO2 H+ 
0	0	1	0	2	1	0	0	45.00888824	HN2O H+ 
2	0	4	1	0	1	0	0	45.033491	C2H4O H+ 
0	0	0	0	1	2	0	0	45.99290848	NO2 H+ 
1	0	3	1	1	1	0	0	46.02874	CH3NO H+ 
2	0	7	1	1	0	0	0	46.065125	C2H7N H+ 
0	0	3	0	2	1	0	0	47.02455139	H3N2O H+ 
2	0	6	1	0	1	0	0	47.049141	C2H6O H+ 
0	0	2	0	1	2	0	0	48.00857162	H2NO2 H+ 
4	0	2	1	0	0	0	0	51.022926	C4H2 H+ 
0	0	0	0	0	0	0	0	53.9914093	 
2	0	-1	1	1	1	0	0	53.99744	C2H-1NO H+ 
0	0	0	0	0	0	0	0	54.01003647	 
0	0	6	1	0	3	0	0	55.038971	H6O3 H+ 
0	0	0	0	0	0	0	0	56.04468155	 
3	0	5	1	1	0	0	0	56.049475	C3H5N H+ 
3	0	4	1	0	1	0	0	57.033491	C3H4O H+ 
4	0	8	1	0	0	0	0	57.069876	C4H8 H+ 
2	0	3	1	1	1	0	0	58.02874	C2H3NO H+ 
0	0	0	0	0	0	0	0	58.0374527	 
3	0	6	1	0	1	0	0	59.049141	C3H6O H+ 
3	0	9	1	1	0	0	0	60.080775	C3H9N H+ 
2	0	4	1	0	2	0	0	61.028406	C2H4O2 H+ 
0	0	0	0	0	0	0	0	61.03946304	 
0	0	0	0	0	0	0	0	61.05311584	 
1	0	3	1	1	2	0	0	62.023655	CH3NO2 H+ 
0	0	0	0	0	0	0	0	62.03587723	 
0	0	0	0	0	0	0	0	62.04275513	 
0	0	0	0	0	0	0	0	62.05572128	 
2	0	7	1	1	1	0	0	62.06004	C2H7NO H+ 
0	0	0	0	0	0	0	0	63.00092316	 
2	0	6	1	0	2	0	0	63.044056	C2H6O2 H+ 
0	0	0	0	0	0	0	0	64.00085449	 
0	0	0	0	0	0	0	0	64.02173615	 
0	0	0	0	0	0	0	0	65.02275085	 
0	0	0	0	0	0	0	0	65.05980682	 
0	0	0	0	0	0	0	0	66.01821899	 
0	0	0	0	0	0	0	0	66.06348419	 
5	0	6	1	0	0	0	0	67.054226	C5H6 H+ 
4	0	5	1	1	0	0	0	68.049475	C4H5N H+ 
3	0	0	1	0	2	0	0	68.997106	C3O2 H+ 
4	0	4	1	0	1	0	0	69.033491	C4H4O H+ 
5	0	8	1	0	0	0	0	69.069876	C5H8 H+ 
0	0	0	0	0	0	0	0	70.03992462	 
4	0	7	1	1	0	0	0	70.065125	C4H7N H+ 
3	0	2	1	0	2	0	0	71.012756	C3H2O2 H+ 
4	0	6	1	0	1	0	0	71.049141	C4H6O H+ 
5	0	10	1	0	0	0	0	71.085526	C5H10 H+ 
3	0	5	1	1	1	0	0	72.04439	C3H5NO H+ 
4	0	9	1	1	0	0	0	72.080775	C4H9N H+ 
3	0	4	1	0	2	0	0	73.028406	C3H4O2 H+ 
0	0	0	0	0	0	0	0	73.04927826	 
4	0	8	1	0	1	0	0	73.064791	C4H8O H+ 
2	0	3	1	1	2	0	0	74.023655	C2H3NO2 H+ 
3	0	7	1	1	1	0	0	74.06004	C3H7NO H+ 
4	0	11	1	1	0	0	0	74.096425	C4H11N H+ 
0	0	0	0	0	0	0	0	75.02610016	 
3	0	6	1	0	2	0	0	75.044056	C3H6O2 H+ 
0	0	0	0	0	0	0	0	75.94397736	 
2	0	5	1	1	2	0	0	76.039305	C2H5NO2 H+ 
0	0	0	0	0	0	0	0	76.05327606	 
3	0	9	1	1	1	0	0	76.07569	C3H9NO H+ 
3	0	8	1	0	2	0	0	77.059706	C3H8O2 H+ 
0	0	0	0	0	0	0	0	78.06801605	 
0	0	0	0	0	0	0	0	79.03926086	 
6	0	6	1	0	0	0	0	79.054226	C6H6 H+ 
0	0	0	0	0	0	0	0	79.06535339	 
5	0	5	1	1	0	0	0	80.049475	C5H5N H+ 
2	0	9	1	1	2	0	0	80.070605	C2H9NO2 H+ 
3	0	13	1	1	1	0	0	80.10699	C3H13NO H+ 
6	0	8	1	0	0	0	0	81.069876	C6H8 H+ 
4	0	2	1	0	2	0	0	83.012756	C4H2O2 H+ 
5	0	6	1	0	1	0	0	83.049141	C5H6O H+ 
6	0	10	1	0	0	0	0	83.085526	C6H10 H+ 
4	0	5	1	1	1	0	0	84.04439	C4H5NO H+ 
0	0	0	0	0	0	0	0	84.05498505	 
5	0	9	1	1	0	0	0	84.080775	C5H9N H+ 
4	0	4	1	0	2	0	0	85.028406	C4H4O2 H+ 
5	0	8	1	0	1	0	0	85.064791	C5H8O H+ 
6	0	12	1	0	0	0	0	85.101176	C6H12 H+ 
0	0	0	0	0	0	0	0	86.00517273	 
